alert_id,fecha_alerta,id_cliente,provincia,bloque_analitico,categoria_h,familia,familia_comercial,tipo_alerta,motivo,segment_or_pattern,loyalty_tier,trend,prioridad,score,expected_impact_eur,urgency_factor,conversion_probability,canal_recomendado,contact_window_days,trace_features,holiday_period,campaign_active,campaign_name
ALT-20251229-000016,2025-12-29,40575,Barcelona,Productos Técnicos,Categoria T1,Familia T1,Biomateriales (técnicos),silent,"Systematic client gone silent: ~€17,056/yr historic, no activity for 202d.",systematic_silent,,declining,High,11109.917712806007,17056.186258064514,0.9397260273972603,0.6931506849315068,delegado,2,"{""pattern"": ""systematic_silent"", ""trend"": ""declining"", ""recency_days"": 202.0, ""frequency_recent"": 0, ""frequency_baseline"": 3, ""volume_recent"": 0.0, ""expected_vol_recent"": 3388.3112, ""mean_interpurchase_days"": 72.33333333333333, ""lifetime_volume"": 10140.2532, ""conversion_probability"": 0.6931506849315068}",True,False,
ALT-20251229-000017,2025-12-29,1000072466,Las Palmas,Productos Técnicos,Categoria T1,Familia T1,Biomateriales (técnicos),silent,"Systematic client gone silent: ~€14,145/yr historic, no activity for 175d.",systematic_silent,,declining,High,10851.126363636364,14145.218295454546,1.0,0.7671232876712328,delegado,2,"{""pattern"": ""systematic_silent"", ""trend"": ""declining"", ""recency_days"": 175.0, ""frequency_recent"": 0, ""frequency_baseline"": 4, ""volume_recent"": 0.0, ""expected_vol_recent"": 2855.2648000000004, ""mean_interpurchase_days"": 44.0, ""lifetime_volume"": 8525.885, ""conversion_probability"": 0.7671232876712328}",True,False,
ALT-20251229-000018,2025-12-29,1000064974,Palencia,Productos Técnicos,Categoria T1,Familia T1,Biomateriales (técnicos),silent,"Systematic client gone silent: ~€13,935/yr historic, no activity for 171d.",systematic_silent,,declining,High,10842.626925417442,13935.066294990726,1.0,0.7780821917808219,delegado,2,"{""pattern"": ""systematic_silent"", ""trend"": ""declining"", ""recency_days"": 171.0, ""frequency_recent"": 0, ""frequency_baseline"": 5, ""volume_recent"": 0.0, ""expected_vol_recent"": 1645.9880000000005, ""mean_interpurchase_days"": 38.5, ""lifetime_volume"": 61734.25260000001, ""conversion_probability"": 0.7780821917808219}",True,False,
ALT-20251229-000019,2025-12-29,1000068579,Málaga,Productos Técnicos,Categoria T1,Familia T1,Biomateriales (técnicos),churn_risk,"Systematic client deteriorating: €2,159 vs expected €7,300.",systematic_deterioration,,declining,High,10745.732492000001,20565.9952,0.95,0.55,delegado,7,"{""pattern"": ""systematic_deterioration"", ""trend"": ""declining"", ""recency_days"": 0.0, ""frequency_recent"": 3, ""frequency_baseline"": 6, ""volume_recent"": 2158.593, ""expected_vol_recent"": 7300.0918, ""mean_interpurchase_days"": 30.677966101694917, ""lifetime_volume"": 45913.4568, ""conversion_probability"": 0.55}",True,False,
ALT-20251229-000021,2025-12-29,1000069128,Ciudad Real,Productos Técnicos,Categoria T1,Familia T2,Biomateriales (técnicos),churn_risk,"Systematic client deteriorating: €1,543 vs expected €6,431.",systematic_deterioration,,declining,High,10215.146282000002,19550.519200000002,0.95,0.55,delegado,2,"{""pattern"": ""systematic_deterioration"", ""trend"": ""declining"", ""recency_days"": 68.0, ""frequency_recent"": 1, ""frequency_baseline"": 7, ""volume_recent"": 1543.4356, ""expected_vol_recent"": 6431.0654, ""mean_interpurchase_days"": 70.375, ""lifetime_volume"": 104536.095, ""conversion_probability"": 0.55}",True,False,
ALT-20251229-000022,2025-12-29,1000100974,Murcia,Productos Técnicos,Categoria T1,Familia T1,Biomateriales (técnicos),silent,"Systematic client gone silent: ~€14,955/yr historic, no activity for 196d.",systematic_silent,,declining,High,10147.061191763147,14955.495870967741,0.9561643835616438,0.7095890410958905,delegado,2,"{""pattern"": ""systematic_silent"", ""trend"": ""declining"", ""recency_days"": 196.0, ""frequency_recent"": 0, ""frequency_baseline"": 4, ""volume_recent"": 0.0, ""expected_vol_recent"": 2267.4254, ""mean_interpurchase_days"": 44.77777777777778, ""lifetime_volume"": 16512.5064, ""conversion_probability"": 0.7095890410958905}",True,False,
ALT-20251229-000023,2025-12-29,1000074494,Las Palmas,Productos Técnicos,Categoria T1,Familia T1,Biomateriales (técnicos),silent,"Systematic client gone silent: ~€11,222/yr historic, no activity for 126d.",systematic_silent,,declining,High,10114.960358558556,11221.76453153153,1.0,0.9013698630136986,delegado,2,"{""pattern"": ""systematic_silent"", ""trend"": ""declining"", ""recency_days"": 126.0, ""frequency_recent"": 0, ""frequency_baseline"": 3, ""volume_recent"": 0.0, ""expected_vol_recent"": 1116.866029090909, ""mean_interpurchase_days"": 55.5, ""lifetime_volume"": 3412.6461999999997, ""conversion_probability"": 0.9013698630136986}",True,False,
ALT-20251229-000024,2025-12-29,31101,Madrid,Productos Técnicos,Categoria T1,Familia T2,Biomateriales (técnicos),silent,"Systematic client gone silent: ~€10,818/yr historic, no activity for 115d.",systematic_silent,,declining,High,10077.085436517533,10818.047600967351,1.0,0.9315068493150684,delegado,2,"{""pattern"": ""systematic_silent"", ""trend"": ""declining"", ""recency_days"": 115.0, ""frequency_recent"": 0, ""frequency_baseline"": 6, ""volume_recent"": 0.0, ""expected_vol_recent"": 2132.8764, ""mean_interpurchase_days"": 51.6875, ""lifetime_volume"": 49022.0568, ""conversion_probability"": 0.9315068493150684}",True,False,
ALT-20251229-000025,2025-12-29,26122,Barcelona,Productos Técnicos,Categoria T1,Familia T2,Biomateriales (técnicos),silent,"Systematic client gone silent: ~€12,600/yr historic, no activity for 164d.",systematic_silent,,declining,High,10045.876676885042,12600.498237330035,1.0,0.7972602739726027,delegado,2,"{""pattern"": ""systematic_silent"", ""trend"": ""declining"", ""recency_days"": 164.0, ""frequency_recent"": 0, ""frequency_baseline"": 5, ""volume_recent"": 0.0, ""expected_vol_recent"": 4091.8282, ""mean_interpurchase_days"": 53.93333333333333, ""lifetime_volume"": 55856.4552, ""conversion_probability"": 0.7972602739726027}",True,False,
ALT-20251229-000026,2025-12-29,5111,León,Productos Técnicos,Categoria T1,Familia T2,Biomateriales (técnicos),silent,"Systematic client gone silent: ~€10,391/yr historic, no activity for 103d.",systematic_silent,,declining,High,10021.367279120881,10391.474593406596,1.0,0.9643835616438357,delegado,2,"{""pattern"": ""systematic_silent"", ""trend"": ""declining"", ""recency_days"": 103.0, ""frequency_recent"": 0, ""frequency_baseline"": 3, ""volume_recent"": 0.0, ""expected_vol_recent"": 847.8822109090911, ""mean_interpurchase_days"": 45.5, ""lifetime_volume"": 2590.7512000000006, ""conversion_probability"": 0.9643835616438357}",True,False,
ALT-20251229-000027,2025-12-29,26463,Barcelona,Productos Técnicos,Categoria T1,Familia T2,Biomateriales (técnicos),silent,"Systematic client gone silent: ~€10,624/yr historic, no activity for 118d.",systematic_silent,,declining,High,9808.841280263157,10623.819190789472,1.0,0.9232876712328767,delegado,2,"{""pattern"": ""systematic_silent"", ""trend"": ""declining"", ""recency_days"": 118.0, ""frequency_recent"": 0, ""frequency_baseline"": 5, ""volume_recent"": 0.0, ""expected_vol_recent"": 3782.9464, ""mean_interpurchase_days"": 67.55555555555556, ""lifetime_volume"": 35393.3264, ""conversion_probability"": 0.9232876712328767}",True,False,
ALT-20251229-000029,2025-12-29,1000101631,Cádiz,Productos Técnicos,Categoria T1,Familia T1,Biomateriales (técnicos),silent,"Systematic client gone silent: ~€13,878/yr historic, no activity for 192d.",systematic_silent,,declining,High,9671.114863354991,13878.157645714284,0.9671232876712329,0.7205479452054795,delegado,2,"{""pattern"": ""systematic_silent"", ""trend"": ""declining"", ""recency_days"": 192.0, ""frequency_recent"": 0, ""frequency_baseline"": 3, ""volume_recent"": 0.0, ""expected_vol_recent"": 873.7364, ""mean_interpurchase_days"": 58.333333333333336, ""lifetime_volume"": 6653.9112, ""conversion_probability"": 0.7205479452054795}",True,False,
ALT-20251229-000030,2025-12-29,1000077509,Madrid,Productos Técnicos,Categoria T1,Familia T1,Biomateriales (técnicos),churn_risk,"Systematic client deteriorating: €822 vs expected €5,380.",systematic_deterioration,,declining,High,9525.679526000002,18230.965600000003,0.95,0.55,delegado,2,"{""pattern"": ""systematic_deterioration"", ""trend"": ""declining"", ""recency_days"": 77.0, ""frequency_recent"": 1, ""frequency_baseline"": 17, ""volume_recent"": 822.3346, ""expected_vol_recent"": 5380.076000000001, ""mean_interpurchase_days"": 23.04, ""lifetime_volume"": 88101.99440000001, ""conversion_probability"": 0.55}",True,False,
ALT-20251229-000031,2025-12-29,33532,Pontevedra,Productos Técnicos,Categoria T1,Familia T1,Biomateriales (técnicos),silent,"Systematic client gone silent: ~€9,052/yr historic, no activity for 97d.",systematic_silent,,declining,High,8878.270147922998,9051.867608915907,1.0,0.9808219178082191,delegado,2,"{""pattern"": ""systematic_silent"", ""trend"": ""declining"", ""recency_days"": 97.0, ""frequency_recent"": 0, ""frequency_baseline"": 5, ""volume_recent"": 0.0, ""expected_vol_recent"": 1032.5890000000002, ""mean_interpurchase_days"": 54.833333333333336, ""lifetime_volume"": 24477.242000000002, ""conversion_probability"": 0.9808219178082191}",True,False,
ALT-20251229-000032,2025-12-29,1000082371,Madrid,Productos Técnicos,Categoria T1,Familia T1,Biomateriales (técnicos),silent,"Systematic client gone silent: ~€8,990/yr historic, no activity for 97d.",systematic_silent,,declining,High,8817.708942031135,8990.12224536694,1.0,0.9808219178082191,delegado,2,"{""pattern"": ""systematic_silent"", ""trend"": ""declining"", ""recency_days"": 97.0, ""frequency_recent"": 0, ""frequency_baseline"": 2, ""volume_recent"": 0.0, ""expected_vol_recent"": 5656.5216, ""mean_interpurchase_days"": 39.6764705882353, ""lifetime_volume"": 33226.5066, ""conversion_probability"": 0.9808219178082191}",True,False,
ALT-20251229-000033,2025-12-29,1000081149,Sta.Cruz Tenerife,Productos Técnicos,Categoria T1,Familia T1,Biomateriales (técnicos),silent,"Systematic client gone silent: ~€8,974/yr historic, no activity for 101d.",systematic_silent,,declining,High,8703.638741549295,8974.090792840376,1.0,0.9698630136986301,delegado,2,"{""pattern"": ""systematic_silent"", ""trend"": ""declining"", ""recency_days"": 101.0, ""frequency_recent"": 0, ""frequency_baseline"": 5, ""volume_recent"": 0.0, ""expected_vol_recent"": 4353.453, ""mean_interpurchase_days"": 77.45454545454545, ""lifetime_volume"": 41895.481400000004, ""conversion_probability"": 0.9698630136986301}",True,False,
ALT-20251229-000034,2025-12-29,35886,Cuenca,Productos Técnicos,Categoria T1,Familia T1,Biomateriales (técnicos),silent,"Systematic client gone silent: ~€8,964/yr historic, no activity for 108d.",systematic_silent,,declining,High,8521.621805046949,8963.665587441315,1.0,0.9506849315068493,delegado,2,"{""pattern"": ""systematic_silent"", ""trend"": ""declining"", ""recency_days"": 108.0, ""frequency_recent"": 0, ""frequency_baseline"": 6, ""volume_recent"": 0.0, ""expected_vol_recent"": 1881.1112, ""mean_interpurchase_days"": 33.411764705882355, ""lifetime_volume"": 41846.8114, ""conversion_probability"": 0.9506849315068493}",True,False,
ALT-20251229-000035,2025-12-29,1000101749,Melilla,Productos Técnicos,Categoria T1,Familia T1,Biomateriales (técnicos),silent,"Systematic client gone silent: ~€13,396/yr historic, no activity for 206d.",systematic_silent,,declining,High,8487.400901917807,13395.576230088494,0.9287671232876712,0.6821917808219178,delegado,2,"{""pattern"": ""systematic_silent"", ""trend"": ""declining"", ""recency_days"": 206.0, ""frequency_recent"": 0, ""frequency_baseline"": 3, ""volume_recent"": 0.0, ""expected_vol_recent"": 1357.240450909091, ""mean_interpurchase_days"": 56.5, ""lifetime_volume"": 4147.1236, ""conversion_probability"": 0.6821917808219178}",True,False,
ALT-20251229-000036,2025-12-29,36374,Vizcaya,Productos Técnicos,Categoria T1,Familia T1,Biomateriales (técnicos),silent,"Systematic client gone silent: ~€16,405/yr historic, no activity for 234d.",systematic_silent,,declining,High,8463.135139098189,16404.55076903226,0.8520547945205479,0.6054794520547946,delegado,2,"{""pattern"": ""systematic_silent"", ""trend"": ""declining"", ""recency_days"": 234.0, ""frequency_recent"": 0, ""frequency_baseline"": 7, ""volume_recent"": 0.0, ""expected_vol_recent"": 2942.494, ""mean_interpurchase_days"": 39.743589743589745, ""lifetime_volume"": 69663.1608, ""conversion_probability"": 0.6054794520547946}",True,False,
ALT-20251229-000037,2025-12-29,36329,Barcelona,Productos Técnicos,Categoria T1,Familia T1,Biomateriales (técnicos),churn_risk,"Systematic client deteriorating: €1,368 vs expected €5,402.",systematic_deterioration,,declining,High,8430.578464,16135.078399999999,0.95,0.55,delegado,7,"{""pattern"": ""systematic_deterioration"", ""trend"": ""declining"", ""recency_days"": 33.0, ""frequency_recent"": 1, ""frequency_baseline"": 6, ""volume_recent"": 1368.2236, ""expected_vol_recent"": 5401.9932, ""mean_interpurchase_days"": 66.5, ""lifetime_volume"": 37906.2056, ""conversion_probability"": 0.55}",True,False,
ALT-20251229-000039,2025-12-29,1000100321,Badajoz,Productos Técnicos,Categoria T1,Familia T1,Biomateriales (técnicos),silent,"Systematic client gone silent: ~€8,453/yr historic, no activity for 95d.",systematic_silent,,declining,High,8336.834571428572,8452.623940476191,1.0,0.9863013698630136,delegado,2,"{""pattern"": ""systematic_silent"", ""trend"": ""declining"", ""recency_days"": 95.0, ""frequency_recent"": 0, ""frequency_baseline"": 6, ""volume_recent"": 0.0, ""expected_vol_recent"": 1559.1984000000002, ""mean_interpurchase_days"": 56.0, ""lifetime_volume"": 7781.0456, ""conversion_probability"": 0.9863013698630136}",True,False,
ALT-20251229-000040,2025-12-29,1000073983,Alicante,Productos Técnicos,Categoria T1,Familia T1,Biomateriales (técnicos),churn_risk,"Systematic client deteriorating: €720 vs expected €4,703.",systematic_deterioration,,declining,High,8325.117482,15933.2392,0.95,0.55,delegado,2,"{""pattern"": ""systematic_deterioration"", ""trend"": ""declining"", ""recency_days"": 40.0, ""frequency_recent"": 1, ""frequency_baseline"": 10, ""volume_recent"": 719.5310000000001, ""expected_vol_recent"": 4702.8408, ""mean_interpurchase_days"": 38.22222222222222, ""lifetime_volume"": 49935.577, ""conversion_probability"": 0.55}",True,False,
ALT-20251229-000041,2025-12-29,11663,Barcelona,Productos Técnicos,Categoria T1,Familia T1,Biomateriales (técnicos),churn_risk,"Systematic client deteriorating: €1,075 vs expected €5,015.",systematic_deterioration,,declining,High,8235.341114000003,15761.418400000002,0.95,0.55,delegado,7,"{""pattern"": ""systematic_deterioration"", ""trend"": ""declining"", ""recency_days"": 20.0, ""frequency_recent"": 2, ""frequency_baseline"": 5, ""volume_recent"": 1075.0732, ""expected_vol_recent"": 5015.4278, ""mean_interpurchase_days"": 51.029411764705884, ""lifetime_volume"": 25994.5214, ""conversion_probability"": 0.55}",True,False,
ALT-20251229-000042,2025-12-29,1000100656,Alicante,Commodities,Categoria C1,Categoria C1,Anestesia,churn_risk,"Sustained drop: €15,481 → €1,902 (-88%).",churn_risk_dropping,loyal,declining,High,7943.527098000001,13578.678800000002,0.9,0.65,delegado,2,"{""segment"": ""churn_risk_dropping"", ""loyalty_tier"": ""loyal"", ""trend"": ""declining"", ""share_of_potential"": 0.5578084714548803, ""potencial_h"": 3410.04, ""volume_eur_current"": 1902.1492, ""volume_eur_baseline"": 15480.828000000001, ""recency_days"": 189.0, ""conversion_probability"": 0.65}",True,False,
ALT-20251229-000043,2025-12-29,36014,Barcelona,Productos Técnicos,Categoria T1,Familia T1,Biomateriales (técnicos),silent,"Systematic client gone silent: ~€9,753/yr historic, no activity for 159d.",systematic_silent,,declining,High,7909.659385819071,9753.465121026895,1.0,0.810958904109589,delegado,2,"{""pattern"": ""systematic_silent"", ""trend"": ""declining"", ""recency_days"": 159.0, ""frequency_recent"": 0, ""frequency_baseline"": 3, ""volume_recent"": 0.0, ""expected_vol_recent"": 3997.4084, ""mean_interpurchase_days"": 71.1304347826087, ""lifetime_volume"": 43716.9012, ""conversion_probability"": 0.810958904109589}",True,False,
ALT-20251229-000044,2025-12-29,1000081414,Madrid,Productos Técnicos,Categoria T1,Familia T1,Biomateriales (técnicos),silent,"Systematic client gone silent: ~€8,230/yr historic, no activity for 108d.",systematic_silent,,declining,High,7824.40725775536,8230.284291298865,1.0,0.9506849315068493,delegado,2,"{""pattern"": ""systematic_silent"", ""trend"": ""declining"", ""recency_days"": 108.0, ""frequency_recent"": 0, ""frequency_baseline"": 2, ""volume_recent"": 0.0, ""expected_vol_recent"": 4353.4844, ""mean_interpurchase_days"": 88.11111111111111, ""lifetime_volume"": 35762.2764, ""conversion_probability"": 0.9506849315068493}",True,False,
ALT-20251229-000045,2025-12-29,1000101711,Valencia,Productos Técnicos,Categoria T1,Familia T1,Biomateriales (técnicos),silent,"Systematic client gone silent: ~€7,756/yr historic, no activity for 90d.",systematic_silent,,declining,High,7756.208070247934,7756.208070247934,1.0,1.0,delegado,2,"{""pattern"": ""systematic_silent"", ""trend"": ""declining"", ""recency_days"": 90.0, ""frequency_recent"": 0, ""frequency_baseline"": 6, ""volume_recent"": 0.0, ""expected_vol_recent"": 1682.9909018181818, ""mean_interpurchase_days"": 48.4, ""lifetime_volume"": 5142.4722, ""conversion_probability"": 1.0}",True,False,
ALT-20251229-000046,2025-12-29,42035,Granada,Productos Técnicos,Categoria T1,Familia T1,Biomateriales (técnicos),silent,"Systematic client gone silent: ~€8,156/yr historic, no activity for 108d.",systematic_silent,,declining,High,7753.861402808989,8156.078997191012,1.0,0.9506849315068493,delegado,2,"{""pattern"": ""systematic_silent"", ""trend"": ""declining"", ""recency_days"": 108.0, ""frequency_recent"": 0, ""frequency_baseline"": 5, ""volume_recent"": 0.0, ""expected_vol_recent"": 2311.4419199999998, ""mean_interpurchase_days"": 64.72727272727273, ""lifetime_volume"": 31819.8808, ""conversion_probability"": 0.9506849315068493}",True,False,
ALT-20251229-000047,2025-12-29,40892,Madrid,Productos Técnicos,Categoria T1,Familia T1,Biomateriales (técnicos),churn_risk,"Systematic client deteriorating: €1,382 vs expected €5,069.",systematic_deterioration,,declining,High,7704.361148,14745.188799999998,0.95,0.55,delegado,1,"{""pattern"": ""systematic_deterioration"", ""trend"": ""declining"", ""recency_days"": 66.0, ""frequency_recent"": 1, ""frequency_baseline"": 2, ""volume_recent"": 1382.3536, ""expected_vol_recent"": 5068.650799999999, ""mean_interpurchase_days"": 67.3076923076923, ""lifetime_volume"": 32450.4556, ""conversion_probability"": 0.55}",True,False,
ALT-20251229-000049,2025-12-29,1000080726,A Coruña,Productos Técnicos,Categoria T1,Familia T2,Biomateriales (técnicos),churn_risk,"Systematic client deteriorating: €992 vs expected €4,517.",systematic_deterioration,,declining,High,7366.255996000001,14098.097600000001,0.95,0.55,delegado,7,"{""pattern"": ""systematic_deterioration"", ""trend"": ""declining"", ""recency_days"": 55.0, ""frequency_recent"": 1, ""frequency_baseline"": 3, ""volume_recent"": 992.2086, ""expected_vol_recent"": 4516.733, ""mean_interpurchase_days"": 66.0, ""lifetime_volume"": 8869.2754, ""conversion_probability"": 0.55}",True,False,
ALT-20251229-000051,2025-12-29,36295,Sevilla,Productos Técnicos,Categoria T1,Familia T1,Biomateriales (técnicos),silent,"Systematic client gone silent: ~€7,311/yr historic, no activity for 94d.",systematic_silent,,declining,High,7231.081271129221,7311.204055296857,1.0,0.989041095890411,delegado,2,"{""pattern"": ""systematic_silent"", ""trend"": ""declining"", ""recency_days"": 94.0, ""frequency_recent"": 0, ""frequency_baseline"": 1, ""volume_recent"": 0.0, ""expected_vol_recent"": 240.9190690909091, ""mean_interpurchase_days"": 42.95, ""lifetime_volume"": 34412.7358, ""conversion_probability"": 0.989041095890411}",True,False,
ALT-20251229-000053,2025-12-29,1000101868,Las Palmas,Productos Técnicos,Categoria T1,Familia T2,Biomateriales (técnicos),silent,"Systematic client gone silent: ~€7,406/yr historic, no activity for 104d.",systematic_silent,,declining,High,7121.828290909091,7405.889818181819,1.0,0.9616438356164384,delegado,2,"{""pattern"": ""systematic_silent"", ""trend"": ""declining"", ""recency_days"": 104.0, ""frequency_recent"": 0, ""frequency_baseline"": 4, ""volume_recent"": 0.0, ""expected_vol_recent"": 1022.6214981818182, ""mean_interpurchase_days"": 51.333333333333336, ""lifetime_volume"": 3124.6768, ""conversion_probability"": 0.9616438356164384}",True,False,
ALT-20251229-000054,2025-12-29,1000077977,Segovia,Productos Técnicos,Categoria T1,Familia T1,Biomateriales (técnicos),silent,"Systematic client gone silent: ~€8,555/yr historic, no activity for 154d.",systematic_silent,,declining,High,7055.22834677223,8555.343344092571,1.0,0.8246575342465754,delegado,2,"{""pattern"": ""systematic_silent"", ""trend"": ""declining"", ""recency_days"": 154.0, ""frequency_recent"": 0, ""frequency_baseline"": 5, ""volume_recent"": 0.0, ""expected_vol_recent"": 705.4324, ""mean_interpurchase_days"": 78.19047619047619, ""lifetime_volume"": 38487.3254, ""conversion_probability"": 0.8246575342465754}",True,False,
